Chapter,word order,abs word ord,English,Portuguese,ppd progress p34,Notes,abbreviations,,??
11,7,1107,implementation,implementacao,pp2,,,,i
3,15,315,import statement,instrucao import,pp2,,,,i
7,4,704,increment,incrementar,pp2,,,,i
6,3,603,incremental development,desenvolvimento incremental,pp2,,,,d
0,1,1,indentation,endentação,ppd 23,,,,e
8,4,804,index,i'ndice,pp2,,,,i
0,0,0,inequality (operator),diferente,ppd 34,,,,d
7,7,707,infinite loop,laço infinito,pp2,,,,l
5,15,515,infinite recursion,recursao infinita,pp2,,,,r
17,9,1709,information hiding,ocultacao de informacoes,pp2,,,,o
18,5,1805,inheritance,herança,pp2,,,,h
7,3,703,initialization,inicializacao,pp2,,,,i
0,0,0,input,entrada,ppd 27,,,,e
15,3,1503,instance,insta^ncia,pp2,,,,i
18,3,1803,instance attribute,atributo de insta^ncia,pp2,,,,a
15,4,1504,instantiate,instanciar,pp2,,,,i
1,12,112,integer,inteiro,ppd 16 footnote,,,,i
2,10,210,interactive mode,modo interativo,pp2,,,,m
4,6,406,interface,"interface, assinatura","self, pp2",,,,i
1,5,105,interpreter,interpretador,ppd 15,,,,i
16,6,1606,invariant,invariante,pp2,,,,i
8,11,811,invocation,invocacao,"pp2, tpp 81",,,,i
18,8,1808,IS-A relationship,relacao E'-UM,pp2,,,,r
8,3,803,item,item,pp2,,,,i
11,4,1104,item,item,pp2,,,,i
7,6,706,iteration,iteracao,pp2,,,,i
0,0,0,iterator,iterador,ppd 28,,,,i
12,6,1206,iterator,iterador,pp2,,,,i
11,5,1105,key,chave,ppd 155,,,,c
11,3,1103,key-value pair,par chave-valor,pp2,,,,p
2,4,204,keyword,palavra-chave,pp2,,,,p
4,5,405,keyword argument,argumento nomeado,pp2,,,,a
21,4,2104,leading term,termo dominante,pp2,,,,t
0,0,0,less than (sign),menor que,google,,,,m
0,0,0,less than operator,operador menor,ppd 33,,,,o
21,8,2108,linear,linear,pp2,,,,l
10,1,1001,list,lista,ppd 31,,,,l
19,2,1902,list comprehension,list comprehension,ppd,,,,l
3,9,309,local variable,varia'vel local,pp2,,,,v
5,5,505,logical operator,operador lo'gico,pp2,,,,o
11,11,1111,lookup,busca,pp2,,,,b
4,2,402,loop,laço,ppd sum,,,,l
1,3,103,low-level language,linguagem de baixo nível,ppd 13 inferred,,,,l
21,2,2102,machine model,ma'quina-modelo,pp2,,,,m
10,7,1007,map,"mapear, mapeamento",ppd sum,seq traversal,,,m
11,1,1101,mapping,mapeamento,pp2,set relationship,,,m
11,16,1116,memo,lembrete,pp2,,,,l
4,1,401,method,método,ppd 25,,,,m
17,3,1703,method,método,ppd 25,,,,m
16,4,1604,modifier,modificadora,pp2,,,,m
3,14,314,module,módulo,ppd sum,,,,m
3,16,316,module object,objeto-mo'dulo,pp2,,,,o
5,2,502,modulus operator,operador de módulo,ppd 24,,,,o
18,12,1812,multiplicity,cardinalidade,pp2,,,,c
19,4,1904,multiset,multiconjunto,wikipedia,,,,m
1,15,115,natural language,linguagem natural,wikipedia,,,,l
5,11,511,nested conditional,condicional aninhado,pp2,,,,c
10,3,1003,nested list,lista aninhada,pp2,,,,l
3,13,313,None,nulo,ppd 49,ver ppd,,,n
8,1,801,object,objeto,self,,,,o
10,9,1009,object,objeto,self,,,,o
15,9,1509,object diagram,diagrama de objetos,pp2,,,,d
17,1,1701,object-oriented language,linguagem orientada a objetos,ppd 12,,,,l
17,2,1702,object-oriented programming,programação orientada a objetos,ppd 12,,,,p
0,2,2,open source,código aberto,ppd 11,,,,c
2,5,205,operand,operando,pp2,,,,o
1,9,109,operator,operador,ppd 110,,,,o
17,6,1706,operator overloading,sobrecarga de operadores,ppd sum,,,,s
8,12,812,optional argument,argumento opcional,pp2,,,,a
21,6,2106,order of growth,ordem de crescimento,pp2,,,,o
2,13,213,order of operations,ordem das operacoes,pp2,,,,o
0,0,0,output,saída,ppd 26,,,,s
13,4,1304,override,sobrepor,pp2,,,,s
